date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:04:46	1185/1185	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22baff09d8a8a010f5009b4e50ae23d27f%22	https://compound.finance/compound-components/assets/compound-mark.svg	C:/My%20Web%20Sites/clone%20pro/compound.finance/compound-components/assets/compound-mark.svg	(from https://compound.finance/static/css/landing.dddaad77.chunk.css)
14:04:47	1026/1026	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%223a4cd53f9b5cc1f79b4b46e67f043cbf%22	https://compound.finance/compound-components/assets/icn-coinbase-wallet.svg	C:/My%20Web%20Sites/clone%20pro/compound.finance/compound-components/assets/icn-coinbase-wallet.svg	(from https://compound.finance/static/css/landing.dddaad77.chunk.css)
14:04:47	576/576	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2262825e60a8dc908aef6082461f302133%22	https://compound.finance/compound-components/assets/icn-ledger.svg	C:/My%20Web%20Sites/clone%20pro/compound.finance/compound-components/assets/icn-ledger.svg	(from https://compound.finance/static/css/landing.dddaad77.chunk.css)
14:04:47	6203/6203	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22e8109252c38f5f7874506c6731c52292%22	https://compound.finance/compound-components/assets/icn-metamask.svg	C:/My%20Web%20Sites/clone%20pro/compound.finance/compound-components/assets/icn-metamask.svg	(from https://compound.finance/static/css/landing.dddaad77.chunk.css)
14:04:48	8702/8702	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22dbbd5c1b97656137968e7ebdeb4d5add%22	https://compound.finance/compound-components/assets/icn-tally.svg	C:/My%20Web%20Sites/clone%20pro/compound.finance/compound-components/assets/icn-tally.svg	(from https://compound.finance/static/css/landing.dddaad77.chunk.css)
14:04:48	2399/2399	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2237f2bc6ecee2eb29b3cf6799ce58bf58%22	https://compound.finance/compound-components/assets/icn-wallet-connect.svg	C:/My%20Web%20Sites/clone%20pro/compound.finance/compound-components/assets/icn-wallet-connect.svg	(from https://compound.finance/static/css/landing.dddaad77.chunk.css)
14:04:49	1491/1491	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225f5dfdc0970a3f53486d1f4b3f76b4c6%22	https://compound.finance/compound-components/assets/ctoken_blank.svg	C:/My%20Web%20Sites/clone%20pro/compound.finance/compound-components/assets/ctoken_blank.svg	(from https://compound.finance/static/css/landing.dddaad77.chunk.css)
14:04:49	2308/2308	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%229d367046b33f7a3cba42bef3a15aac6f%22	https://compound.finance/compound-components/assets/ctoken_fei_product.svg	C:/My%20Web%20Sites/clone%20pro/compound.finance/compound-components/assets/ctoken_fei_product.svg	(from https://compound.finance/static/css/landing.dddaad77.chunk.css)
14:04:49	2483/2483	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22b51adbcea591c7ebdcab3fcdfdcb74cb%22	https://compound.finance/compound-components/assets/ctoken_aave_product.svg	C:/My%20Web%20Sites/clone%20pro/compound.finance/compound-components/assets/ctoken_aave_product.svg	(from https://compound.finance/static/css/landing.dddaad77.chunk.css)
14:04:50	2131/2131	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22125961b7f56416d5fb55930b9084ce94%22	https://compound.finance/compound-components/assets/ctoken_bat_product.svg	C:/My%20Web%20Sites/clone%20pro/compound.finance/compound-components/assets/ctoken_bat_product.svg	(from https://compound.finance/static/css/landing.dddaad77.chunk.css)
14:04:50	2641/2641	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225cf5d5445e0f3fe097a5fa63e82a9096%22	https://compound.finance/compound-components/assets/ctoken_comp_product.svg	C:/My%20Web%20Sites/clone%20pro/compound.finance/compound-components/assets/ctoken_comp_product.svg	(from https://compound.finance/static/css/landing.dddaad77.chunk.css)
14:04:51	2362/2362	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2248b3fc3b1a124ce402f38f35cb1ec215%22	https://compound.finance/compound-components/assets/ctoken_dai_product.svg	C:/My%20Web%20Sites/clone%20pro/compound.finance/compound-components/assets/ctoken_dai_product.svg	(from https://compound.finance/static/css/landing.dddaad77.chunk.css)
14:04:51	2001/2001	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22f484910d2ed21af815b9a9a909804ed5%22	https://compound.finance/compound-components/assets/ctoken_eth_product.svg	C:/My%20Web%20Sites/clone%20pro/compound.finance/compound-components/assets/ctoken_eth_product.svg	(from https://compound.finance/static/css/landing.dddaad77.chunk.css)
